# ----------------------------------------,,,,,,,,
# 1 Master View,,,,,,,,
# Rendimiento del producto,,,,,,,,
# 20190101-20191231,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
Producto,Ingresos del producto,Compras únicas,Cantidad,Precio medio,Cantidad media,Importe de reembolso del producto,Porcentaje carrito/detalle,Porcentaje compra/detalle
Google Utility BackPack,"2.039,87 US$",14,17,"119,99 US$","1,21","0,00 US$","4,22 %","0,08 %"
Google Zip Hoodie F/C,"1.979,83 US$",33,33,"59,99 US$","1,00","0,00 US$","17,68 %","0,47 %"
Google Color Block Notebook,"1.920,99 US$",11,160,"12,01 US$","14,55","0,00 US$","14,29 %","1,75 %"
Google Campus Bike Tote Navy,"1.697,98 US$",5,154,"11,03 US$","30,80","0,00 US$","23,36 %","0,33 %"
Google Tee White,"1.442,47 US$",74,83,"17,38 US$","1,12","0,00 US$","18,94 %","0,80 %"
Google Canteen Bottle Black,"1.415,41 US$",14,59,"23,99 US$","4,21","0,00 US$","21,25 %","0,73 %"
Google F/C Longsleeve Charcoal,"1.405,86 US$",43,45,"31,24 US$","1,05","0,00 US$","5,57 %","6,85 %"
Google Tee F/C Black,"1.143,53 US$",51,52,"21,99 US$","1,02","0,00 US$","25,80 %","3,79 %"
YouTube Tee Black,"1.011,72 US$",68,87,"11,63 US$","1,28","0,00 US$","18,72 %","1,70 %"
Google Unisex Eco Tee Black,"989,76 US$",42,45,"21,99 US$","1,07","0,00 US$","0,00 %","4.200,00 %"
Google Relaxed Fit Hat Navy,"870,96 US$",8,67,"13,00 US$","8,38","0,00 US$","28,92 %","0,84 %"
Google Flat Front Bag Grey,"839,76 US$",28,28,"29,99 US$","1,00","0,00 US$","9,70 %","0,24 %"
Google Crewneck Sweatshirt Grey,"817,32 US$",17,17,"48,08 US$","1,00","0,00 US$","16,70 %","0,30 %"
YouTube Twill Sandwich Cap Black,"792,65 US$",56,61,"12,99 US$","1,09","0,00 US$","21,13 %","1,13 %"
Google Zip Hoodie Black,"779,85 US$",17,17,"45,87 US$","1,00","0,00 US$","9,90 %","0,12 %"
Google F/C Longsleeve Ash,"764,83 US$",26,26,"29,42 US$","1,00","0,00 US$","8,24 %","7,65 %"
Google Mens Microfleece Jacket Black,"749,98 US$",10,10,"75,00 US$","1,00","0,00 US$","11,21 %","0,18 %"
Google Pullover Hoodie Grey,"737,86 US$",15,17,"43,40 US$","1,13","0,00 US$","20,65 %","0,14 %"
Google Glass Bottle,"735,71 US$",6,32,"22,99 US$","5,33","0,00 US$","16,20 %","0,23 %"
Google Women's Tee F/C Black,"725,77 US$",31,33,"21,99 US$","1,06","0,00 US$","32,21 %","8,05 %"
YouTube Standards Zip Hoodie Black,"719,99 US$",12,12,"60,00 US$","1,00","0,00 US$","3,52 %","1,46 %"
Google Campus Bike,"719,89 US$",17,18,"39,99 US$","1,06","0,00 US$","5,59 %","0,26 %"
Google Tee Blue,"639,90 US$",36,37,"17,29 US$","1,03","0,00 US$","20,22 %","0,88 %"
Google Camp Mug Ivory,"636,68 US$",34,49,"12,99 US$","1,44","0,00 US$","25,02 %","0,77 %"
Google Men's Discovery Lt. Rain Shell,"615,94 US$",7,7,"87,99 US$","1,00","0,00 US$","7,93 %","0,19 %"
Google Bike Tee Navy,"589,31 US$",31,31,"19,01 US$","1,00","0,00 US$","16,22 %","0,74 %"
Google Twill Cap Charcoal,"584,80 US$",29,45,"13,00 US$","1,55","0,00 US$","28,41 %","0,81 %"
Google Sunglasses,"563,50 US$",89,161,"3,50 US$","1,81","0,00 US$","10,91 %","6,60 %"
Google Chrome Dinosaur Collectible,"540,00 US$",17,18,"30,00 US$","1,06","0,00 US$","0,68 %","0,33 %"
Google Tee Red,"532,17 US$",32,32,"16,63 US$","1,00","0,00 US$","23,24 %","0,81 %"
Google Tudes Recycled Tee,"522,87 US$",16,17,"30,76 US$","1,06","0,00 US$","10,91 %","7,27 %"
Google Light Pen Green,"508,30 US$",18,170,"2,99 US$","9,44","0,00 US$","36,54 %","2,55 %"
YouTube Icon Tee Charcoal,"505,96 US$",20,23,"22,00 US$","1,15","0,00 US$","17,32 %","2,23 %"
Google Light Pen Yellow,"496,97 US$",34,166,"2,99 US$","4,88","0,00 US$","23,40 %","2,58 %"
Google Thermal Bottle White,"479,89 US$",19,20,"23,99 US$","1,05","0,00 US$","23,26 %","0,54 %"
Google 24oz Ring Bottle Blue,"454,44 US$",17,65,"6,99 US$","3,82","0,00 US$","33,60 %","0,91 %"
Google Black Tee,"450,81 US$",20,22,"20,49 US$","1,10","0,00 US$","5,26 %","0,99 %"
Google Tonal Tee Coral,"413,50 US$",29,33,"12,53 US$","1,14","0,00 US$","7,62 %","6,70 %"
Google 24 oz Ring Bottle Red,"405,45 US$",12,58,"6,99 US$","4,83","0,00 US$","33,42 %","1,07 %"
Google Campus Bike Eco Tee Navy,"394,89 US$",15,16,"24,68 US$","1,07","0,00 US$","19,55 %","2,26 %"
Google Incognito Flap Pack,"374,95 US$",4,5,"74,99 US$","1,25","0,00 US$","5,23 %","0,06 %"
Google Tee Dark Blue,"374,92 US$",15,15,"24,99 US$","1,00","0,00 US$","20,77 %","3,02 %"
Google Tee Mint Green,"374,91 US$",15,15,"24,99 US$","1,00","0,00 US$","29,43 %","3,59 %"
Google Men's Outpost Vest,"367,93 US$",7,7,"52,56 US$","1,00","0,00 US$","12,30 %","0,63 %"
Google Men's Kirkland Pullover,"365,38 US$",7,7,"52,20 US$","1,00","0,00 US$","8,28 %","0,22 %"
YouTube Pen 2-Pack,"362,22 US$",40,91,"3,98 US$","2,28","0,00 US$","30,16 %","0,99 %"
Google Adventure Bottle Black,"359,94 US$",9,9,"39,99 US$","1,00","0,00 US$","12,18 %","0,23 %"
Google Metallic Notebook Set,"353,52 US$",30,59,"5,99 US$","1,97","0,00 US$","21,42 %","0,92 %"
Android Tone Hoodie Black,"348,00 US$",16,16,"21,75 US$","1,00","0,00 US$","10,28 %","0,24 %"
Google Crew Socks,"335,98 US$",15,21,"16,00 US$","1,40","0,00 US$","29,10 %","0,86 %"
Google Pen Grey,"322,00 US$",22,184,"1,75 US$","8,36","0,00 US$","37,19 %","3,18 %"
Noogler Android Figure 2019,"319,90 US$",19,20,"16,00 US$","1,05","0,00 US$","19,72 %","0,36 %"
Google Men's Tech Fleece Vest Charcoal,"316,00 US$",4,4,"79,00 US$","1,00","0,00 US$","14,84 %","1,41 %"
Google Clear Pen 4-Pack,"314,45 US$",32,63,"4,99 US$","1,97","0,00 US$","45,74 %","2,76 %"
Google Youth FC Tee Charcoal,"299,92 US$",10,12,"24,99 US$","1,20","0,00 US$","25,74 %","0,66 %"
Learning Thermostat 3rd Gen-USA - Stainless Steel,"298,00 US$",1,2,"149,00 US$","2,00","0,00 US$","55,58 %","0,04 %"
Google Tee Green,"294,66 US$",16,16,"18,42 US$","1,00","0,00 US$","15,19 %","0,47 %"
Google Clear Framed Blue Shades,"289,68 US$",9,58,"4,99 US$","6,44","0,00 US$","29,23 %","2,17 %"
YouTube Icon Tee Grey,"285,98 US$",13,13,"22,00 US$","1,00","0,00 US$","17,33 %","1,52 %"
Google Women's Ringer Tee,"274,96 US$",9,11,"25,00 US$","1,22","0,00 US$","20,00 %","45,00 %"
Google Hub Mug White,"272,79 US$",19,21,"12,99 US$","1,11","0,00 US$","18,52 %","0,57 %"
Google Clear Framed Yellow Shades,"269,47 US$",5,54,"4,99 US$","10,80","0,00 US$","25,63 %","1,26 %"
Android Diamond Tee,"267,40 US$",15,15,"17,83 US$","1,00","0,00 US$","13,43 %","1,92 %"
Google Tee Yellow,"266,11 US$",17,19,"14,01 US$","1,12","0,00 US$","21,65 %","0,69 %"
Google Tonal Tee Spearmint,"263,89 US$",17,19,"13,89 US$","1,12","0,00 US$","4,91 %","2,04 %"
Google Magnet,"263,74 US$",23,33,"7,99 US$","1,43","0,00 US$","36,83 %","2,51 %"
Google Crewneck Sweatshirt Navy,"259,97 US$",5,5,"51,99 US$","1,00","0,00 US$","15,13 %","0,11 %"
Google Stylus Pen w/ LED Light,"258,50 US$",15,47,"5,50 US$","3,13","0,00 US$","15,62 %","1,33 %"
Unisex Google Jumbo Print Tee White,"258,10 US$",11,11,"23,46 US$","1,00","0,00 US$","0,00 %","1.100,00 %"
YouTube Crew Socks,"255,94 US$",13,16,"16,00 US$","1,23","0,00 US$","22,84 %","1,08 %"
Google Leather Strap Hat Blue,"249,95 US$",15,15,"16,66 US$","1,00","0,00 US$","31,49 %","1,57 %"
Google Tonal Tee Fog,"246,26 US$",14,16,"15,39 US$","1,14","0,00 US$","9,68 %","11,29 %"
YouTube 25 oz Gear Cap Bottle Black,"242,92 US$",9,9,"26,99 US$","1,00","0,00 US$","16,01 %","0,29 %"
YouTube Wordmark Crew Grey,"239,20 US$",12,12,"19,93 US$","1,00","0,00 US$","9,38 %","0,54 %"
Maze Pen,"236,86 US$",34,238,"1,00 US$","7,00","0,00 US$","31,47 %","2,26 %"
Google Thermal Tumbler Navy,"233,92 US$",13,13,"17,99 US$","1,00","0,00 US$","14,60 %","0,39 %"
Google Laptop and Cell Phone Stickers,"233,49 US$",65,78,"2,99 US$","1,20","0,00 US$","34,62 %","1,30 %"
Unisex Google Pocket Tee Grey,"232,00 US$",8,8,"29,00 US$","1,00","0,00 US$","0,00 %","0,00 %"
Google Tee Grey,"230,87 US$",14,14,"16,49 US$","1,00","0,00 US$","12,08 %","0,16 %"
Google Men's Puff Jacket Black,"230,00 US$",2,2,"115,00 US$","1,00","0,00 US$","6,64 %","0,47 %"
Google Shoreline Tonal Crew Maroon,"225,45 US$",5,5,"45,09 US$","1,00","0,00 US$","20,53 %","0,63 %"
Google Incognito Messenger Bag,"224,98 US$",3,3,"74,99 US$","1,00","0,00 US$","4,59 %","0,08 %"
Google Incognito Zip Pack,"224,98 US$",3,3,"74,99 US$","1,00","0,00 US$","4,11 %","0,03 %"
YouTube Small Sticker Sheet,"224,52 US$",37,75,"2,99 US$","2,03","0,00 US$","32,07 %","1,07 %"
Google Men's Techie Fleece,"219,98 US$",3,3,"73,33 US$","1,00","0,00 US$","8,29 %","0,26 %"
Google Packable Bag Black,"219,90 US$",11,11,"19,99 US$","1,00","0,00 US$","14,29 %","0,19 %"
Google Phone Stand Bamboo,"219,66 US$",25,44,"4,99 US$","1,76","0,00 US$","37,02 %","0,74 %"
Google Shoreline Tonal Crew Olive,"214,45 US$",5,5,"42,89 US$","1,00","0,00 US$","24,51 %","1,21 %"
Google Tri Pen Silver,"211,03 US$",7,17,"12,41 US$","2,43","0,00 US$","16,06 %","1,97 %"
Google Trucker Hat Black,"207,88 US$",14,16,"12,99 US$","1,14","0,00 US$","27,11 %","1,10 %"
Google Large Tote Canvas,"207,84 US$",12,16,"12,99 US$","1,33","0,00 US$","31,81 %","0,96 %"
Google Sherpa Zip Hoodie Charcoal,"207,00 US$",2,3,"69,00 US$","1,50","0,00 US$","4,57 %","0,19 %"
Google Women's White Tee,"202,30 US$",11,11,"18,39 US$","1,00","0,00 US$","30,00 %","6,11 %"
Android Moffet Jacket,"200,00 US$",3,4,"50,00 US$","1,33","0,00 US$","8,68 %","0,32 %"
Google Bike Mini Backpack,"200,00 US$",2,5,"40,00 US$","2,50","0,00 US$","4,02 %","0,11 %"
Google Unisex Pride Eco-Tee Black,"198,00 US$",8,9,"22,00 US$","1,12","0,00 US$","14,91 %","1,53 %"
Mini Android Collectible Figure - Series 7,"194,99 US$",1,1,"194,99 US$","1,00","0,00 US$","3,22 %","0,13 %"
Google Sport Socks,"193,19 US$",8,17,"11,36 US$","2,12","0,00 US$","29,92 %","0,83 %"
Google Pen White,"189,00 US$",40,108,"1,75 US$","2,70","0,00 US$","40,78 %","4,12 %"
Google Women's Grid Zip-Up,"188,97 US$",3,3,"62,99 US$","1,00","0,00 US$","9,67 %","0,16 %"
Google Shoreline Tonal Tee Olive,"184,68 US$",12,12,"15,39 US$","1,00","0,00 US$","35,78 %","5,50 %"
Google Mini Kick Ball,"175,50 US$",15,88,"1,99 US$","5,87","0,00 US$","26,89 %","0,66 %"
Google Toddler FC Zip Hoodie,"174,99 US$",5,5,"35,00 US$","1,00","0,00 US$","12,11 %","0,31 %"
Hello Doorbell - USA,"169,00 US$",1,1,"169,00 US$","1,00","0,00 US$","53,91 %","0,29 %"
YouTube Leather Strap Hat Black,"166,97 US$",10,10,"16,70 US$","1,00","0,00 US$","19,82 %","0,66 %"
Google Twill Cap,"164,85 US$",10,15,"10,99 US$","1,50","0,00 US$","29,14 %","0,59 %"
Google Campus Bike Mini Backpack,"160,00 US$",3,4,"40,00 US$","1,33","0,00 US$","0,72 %","0,43 %"
Google Perk Thermal Tumbler,"159,97 US$",8,8,"20,00 US$","1,00","0,00 US$","12,23 %","0,41 %"
Google Large Standard Journal Grey,"159,95 US$",10,10,"16,00 US$","1,00","0,00 US$","25,29 %","0,98 %"
Google Women's Techie Fleece,"158,39 US$",3,3,"52,80 US$","1,00","0,00 US$","3,08 %","1,15 %"
Campus Corkbase Mug Blue,"152,91 US$",4,9,"16,99 US$","2,25","0,00 US$","25,19 %","0,50 %"
Android Large Removable Sticker Sheet,"152,51 US$",9,51,"2,99 US$","5,67","0,00 US$","32,20 %","0,71 %"
Google Tonal Tee Slate Grey,"151,71 US$",9,9,"16,86 US$","1,00","0,00 US$","18,18 %","81,82 %"
Google Infant Charcoal Onesie,"149,97 US$",6,6,"25,00 US$","1,00","0,00 US$","39,82 %","0,29 %"
Google Unisex Ringer Tee,"149,94 US$",6,6,"24,99 US$","1,00","0,00 US$","0,00 %","0,00 %"
Google Fold-over Beanie Grey,"149,92 US$",14,15,"9,99 US$","1,07","0,00 US$","28,78 %","0,50 %"
Google Utility Bag Grey,"149,88 US$",11,15,"9,99 US$","1,36","0,00 US$","14,96 %","0,32 %"
YouTube Play Mug,"147,96 US$",10,12,"12,33 US$","1,20","0,00 US$","20,73 %","0,56 %"
Android Trace Bottle Black,"143,94 US$",1,6,"23,99 US$","6,00","0,00 US$","15,95 %","0,20 %"
Google Crew Socks Summer 18,"143,91 US$",9,9,"15,99 US$","1,00","0,00 US$","36,48 %","0,99 %"
Google Mesh Bag Blue,"143,85 US$",13,24,"5,99 US$","1,85","0,00 US$","26,53 %","0,50 %"
Google Separating Keyring,"139,85 US$",16,20,"6,99 US$","1,25","0,00 US$","23,99 %","1,58 %"
Android Ugly Sweater,"135,00 US$",3,3,"45,00 US$","1,00","0,00 US$","13,88 %","0,95 %"
Google Clear Framed Gray Shades,"135,00 US$",3,27,"5,00 US$","9,00","0,00 US$","19,47 %","1,33 %"
Google Heathered Pom Beanie,"135,00 US$",6,9,"15,00 US$","1,50","0,00 US$","23,52 %","0,57 %"
YouTube Kids Tee White,"127,95 US$",17,18,"7,11 US$","1,06","0,00 US$","0,00 %","0,00 %"
Android Sport Socks,"125,99 US$",7,9,"14,00 US$","1,29","0,00 US$","13,65 %","0,34 %"
Android Iconic Backpack,"125,00 US$",1,5,"25,00 US$","5,00","0,00 US$","4,21 %","0,14 %"
Google Summer19 Crew Grey,"123,99 US$",2,2,"62,00 US$","1,00","0,00 US$","11,72 %","1,56 %"
Android Techie 3D Framed Art,"123,98 US$",5,5,"24,80 US$","1,00","0,00 US$","9,02 %","0,55 %"
Windup Android,"123,69 US$",8,31,"3,99 US$","3,88","0,00 US$","26,21 %","0,55 %"
Google Raincoat Navy,"120,00 US$",1,1,"120,00 US$","1,00","0,00 US$","2,76 %","0,39 %"
Google Red Speckled Tee,"120,00 US$",4,4,"30,00 US$","1,00","0,00 US$","10,23 %","4,55 %"
Google Woodtop Bottle Black,"120,00 US$",4,4,"30,00 US$","1,00","0,00 US$","14,36 %","0,14 %"
Google Laptop Sleeve Charcoal,"119,96 US$",6,6,"19,99 US$","1,00","0,00 US$","8,94 %","0,28 %"
Google Thermal Bottle Red,"119,95 US$",3,5,"23,99 US$","1,67","0,00 US$","28,34 %","0,70 %"
Android Small Removable Sticker Sheet,"119,60 US$",10,40,"2,99 US$","4,00","0,00 US$","38,59 %","1,01 %"
Cam Outdoor Security Camera - USA,"119,00 US$",1,1,"119,00 US$","1,00","0,00 US$","39,24 %","0,03 %"
Google Crew Combed Cotton Sock,"118,98 US$",7,7,"17,00 US$","1,00","0,00 US$","32,20 %","0,80 %"
Google Large Tote White,"116,96 US$",8,9,"13,00 US$","1,12","0,00 US$","23,68 %","0,57 %"
Google Mouse Pad Navy,"114,85 US$",16,23,"4,99 US$","1,44","0,00 US$","28,94 %","0,70 %"
